iter	Passed	Remaining
0	51	20632
1	91	18140
2	126	16738
3	167	16567
4	207	16417
5	248	16316
6	291	16375
7	337	16539
8	375	16329
9	412	16080
10	447	15835
11	485	15688
12	523	15594
13	562	15496
14	598	15351
15	634	15234
16	674	15203
17	712	15118
18	752	15099
19	793	15068
20	829	14978
21	869	14931
22	906	14864
23	944	14801
24	983	14752
25	1021	14692
26	1063	14695
27	1096	14569
28	1135	14528
29	1171	14443
30	1215	14469
31	1250	14386
32	1287	14318
33	1319	14208
34	1356	14149
35	1395	14108
36	1430	14039
37	1468	13992
38	1508	13960
39	1540	13866
40	1574	13790
41	1608	13707
42	1646	13668
43	1681	13603
44	1718	13559
45	1749	13463
46	1784	13400
47	1819	13340
48	1851	13266
49	1891	13239
50	1930	13207
51	1970	13188
52	2007	13141
53	2052	13149
54	2087	13091
55	2128	13072
56	2164	13023
57	2200	12974
58	2240	12947
59	2277	12904
60	2312	12849
61	2348	12804
62	2384	12754
63	2424	12730
64	2464	12699
65	2509	12698
66	2549	12673
67	2591	12654
68	2628	12607
69	2661	12548
70	2697	12499
71	2732	12448
72	2766	12392
73	2799	12331
74	2834	12283
75	2872	12244
76	2909	12204
77	2946	12165
78	2982	12118
79	3018	12073
80	3055	12035
81	3094	12000
82	3132	11962
83	3172	11934
84	3209	11895
85	3242	11838
86	3279	11798
87	3315	11755
88	3348	11701
89	3381	11647
90	3414	11592
91	3447	11542
92	3482	11494
93	3514	11441
94	3548	11392
95	3581	11342
96	3617	11300
97	3652	11255
98	3684	11203
99	3718	11156
100	3751	11105
101	3787	11064
102	3820	11016
103	3855	10972
104	3887	10923
105	3920	10874
106	3952	10824
107	3988	10784
108	4026	10749
109	4065	10717
110	4111	10703
111	4154	10681
112	4188	10637
113	4230	10612
114	4268	10578
115	4308	10549
116	4351	10525
117	4392	10498
118	4435	10473
119	4486	10469
120	4548	10487
121	4613	10513
122	4672	10523
123	4737	10545
124	4783	10523
125	4833	10510
126	4877	10485
127	4928	10472
128	4977	10456
129	5037	10462
130	5084	10439
131	5125	10406
132	5176	10392
133	5228	10379
134	5274	10353
135	5320	10328
136	5364	10297
137	5420	10291
138	5468	10267
139	5511	10235
140	5569	10230
141	5609	10192
142	5654	10161
143	5698	10129
144	5741	10097
145	5780	10057
146	5818	10014
147	5855	9970
148	5899	9937
149	5937	9895
150	5975	9854
151	6013	9812
152	6058	9781
153	6102	9748
154	6139	9704
155	6177	9661
156	6213	9617
157	6248	9570
158	6283	9523
159	6319	9479
160	6361	9443
